timestep,update,mean_eval_reward,episode_length,policy_loss,value_loss,entropy,entropy_coef
1024,1,2.1768614180522725,317,1.3973673573578709,0.018432296463288367,4.298710036277771,0.014997
2048,3,11.418547709726063,421,-0.05218389163492247,0.03298693189572077,4.268786737322808,0.0149940006
3072,6,1.2260159743167836,130,-0.05336401259992272,0.01453856933512725,4.183267718553543,0.01499100179988
4096,9,-0.3869621254238445,28,0.22738594349939376,0.0350140216818545,4.121746438741684,0.014988003599520024
5120,11,3.5299838507050674,173,0.08615730903111399,0.037717573356349024,4.099265170097351,0.01498500599880012
6144,13,3.7224014826780856,409,0.7583447386859916,0.038738987623946744,4.083195462822914,0.01498200899760036
7168,16,0.7503950946363246,41,-0.0026563607156276704,0.07080966199282557,4.047174206376075,0.01497901259580084
8192,18,3.5199349284307253,171,0.35710514409001914,0.07022599281044677,4.0447920829057695,0.014976016793281682
9216,20,3.4894561654644685,410,-0.02360697293188423,0.11301918626995758,4.017439724504948,0.014973021589923025
10240,22,-1.2210600391376647,495,0.005474413646152243,0.05597945334739052,3.982729510962963,0.014970026985605041
11264,24,31.192246031227185,592,0.03376553828129545,0.15688698826124892,3.949117785692215,0.01496703298020792
12288,25,11.217006857342795,547,-0.057587993377819655,0.09521714544389397,3.9217273727059365,0.014964039573611879
13312,28,1.647703250915573,79,0.08711842429474928,0.09162435447797179,3.887832073867321,0.014961046765697157
14336,30,2.4440757213830016,83,0.02584163988358341,0.0567416422709357,3.865634912252426,0.014958054556344018
15360,32,-0.3741694022898128,18,0.08580790204578079,0.07805362506187521,3.8409105464816093,0.01495506294543275
16384,34,5.5032834926951395,109,0.29880925375036893,0.09130617190967313,3.8164902299642565,0.014952071932843662
17408,36,6.953003836527781,352,0.2834545373218134,0.10124342057970352,3.733406789600849,0.014949081518457094
18432,39,0.8586985779212933,53,0.2997577166883275,0.1522063128184527,3.6864876091480254,0.014946091702153403
19456,41,5.045593140390612,178,0.2419185345293954,0.20998444163706154,3.7057151958346366,0.014943102483812972
20480,43,6.270989290450214,304,0.25211966410279274,0.07840336580993608,3.736179366707802,0.01494011386331621
21504,45,7.743450988465436,360,0.3056292351335287,0.11659989823820069,3.7689426332712173,0.014937125840543547
22528,47,5.30489890048435,455,0.2566830215509981,0.11230079014785588,3.8055058017373087,0.014934138415375438
23552,49,6.925071678030763,468,0.28231943112332375,0.02827892227214761,3.847403010725975,0.014931151587692364
24576,52,5.616555951202301,144,0.28311079302802683,0.024279477499658243,3.8969920977950094,0.014928165357374826
25600,53,19.542105063495864,548,0.05753817138611339,0.12776486481307076,3.9440275520086288,0.014925179724303352
26624,56,2.015850296723333,76,0.07164196298981551,13.574692813679576,3.925542640686035,0.014922194688358491
27648,58,7.525167094170255,99,0.13851752600166947,0.1257568621542305,3.9417817816138268,0.01491921024942082
28672,60,-0.2474352498445504,18,0.1770362484443467,0.18357317325426264,3.9363900795578957,0.014916226407370935
29696,61,3.0586327529254724,283,0.2828954435884953,0.18672652118839322,3.945043686032295,0.014913243162089461
30720,63,12.141625550015883,441,0.3124553866684437,0.08290108649525792,3.9915600761771204,0.014910260513457044
31744,65,4.242311918889705,134,0.24274170878343285,0.06281049570534378,4.033366811275482,0.014907278461354354
32768,67,5.57600411816902,186,0.19406093565630728,0.0636762963666115,4.0282753080129625,0.014904297005662082
33792,69,0.7246995059376583,216,1.6504169414576608,0.05593884686240926,3.9610637724399567,0.01490131614626095
34816,71,-0.6423184732617182,321,0.12345823048963211,0.04170130598940887,3.938826562464237,0.014898335883031699
35840,73,15.992008573729942,542,0.679117972718086,0.058123661344870924,3.937379312515259,0.014895356215855093
36864,75,5.274958538555752,262,0.13945570364303422,0.03937367390317377,3.9206574842333795,0.014892377144611921
37888,77,6.5306020284174915,208,0.10850476300256559,18.67819545418024,3.9150171279907227,0.014889398669182999
38912,79,11.629729069842247,251,0.0927266905666329,14.907044226676225,3.9226483196020125,0.014886420789449163
39936,81,10.604523066936073,289,0.14020804999163375,0.2706319849821739,3.9310898378491403,0.014883443505291274
40960,83,2.983792011935695,126,0.036850979435257614,0.15579367473255842,3.9135426566004754,0.014880466816590216
41984,84,4.914200051916366,382,0.05784581264015287,0.02870848884922452,3.8990326419472696,0.014877490723226899
43008,86,17.14154596837818,412,0.0629720735247247,0.07244228226481937,3.8551758393645286,0.014874515225082253
44032,88,6.78232037396709,171,0.6008039409061894,0.04401716403081082,3.8470368534326553,0.014871540322037236
45056,90,6.277028414574499,125,0.06934496961766853,29.995128770172595,3.8650408178567885,0.01486856601397283
46080,90,-3.1006332829920664,1149,0.3206036387709901,0.2463139809668064,3.8766580894589424,0.014865592300770036
47104,92,6.96195744372467,171,0.1449660996091552,6.667334724590182,3.8676908001303674,0.014862619182309883
48128,94,9.507843328843563,275,0.0002992060966789722,14.52340969182551,3.8668922960758207,0.01485964665847342
49152,96,14.736420115888471,236,0.08158994924742728,0.16287719465326517,3.856472235918045,0.014856674729141726
50176,97,15.566274042197996,354,0.15540899717598222,0.2376880598254502,3.8344517275691032,0.0148537033941959
51200,97,75.20368565013602,1378,0.18293197577586398,0.32067143488675354,3.819934293627739,0.01485073265351706
52224,98,19.38239831754433,351,0.45595887914532796,0.19824070767499508,3.7683549493551256,0.014847762506986356
53248,98,39.92104368680814,1375,0.06559170695254579,0.10966930715367199,3.7038419991731644,0.014844792954484959
54272,100,-0.9780724104765602,501,0.12177995620877483,0.10556271739769726,3.665415604412556,0.014841823995894062
55296,102,6.7273830994179935,91,-0.003311967966146767,0.0408259971998632,3.6236528411507605,0.014838855631094884
56320,104,11.943889381182464,224,0.07298972474527546,0.0681679763016291,3.6066975355148316,0.014835887859968666
57344,104,46.935318319720835,1248,0.1645172654883936,0.15687099031638355,3.6424920931458473,0.014832920682396673
58368,105,1.3588329656739642,48,0.4636239538434893,0.09218521510483697,3.6620011985301972,0.014829954098260194
59392,106,-0.6336391630434507,248,0.09989377148449421,14.107036995515227,3.6821300476789474,0.014826988107440544
60416,107,2.7511466007103085,851,0.06668997129891067,12.895246106386185,3.6854777365922926,0.014824022709819055
61440,109,4.829453785053411,329,0.08644752434920519,23.355729772150518,3.688706637918949,0.014821057905277091
62464,110,-1.881290707496161,682,0.19499819597695023,12.779060595482587,3.692908135056496,0.014818093693696036
63488,111,-14.194744221293545,809,0.3946111222729087,0.5189302397426218,3.706039567291737,0.014815130074957297
64512,111,-33.78826765503422,1833,0.31993905222043395,0.21725891497917474,3.734471173584461,0.014812167048942306
65536,111,-40.6133945073006,2857,0.14706316289957613,0.10759740704670548,3.7700262501835824,0.014809204615532518
66560,111,-41.602096479926715,3881,0.030821988522075117,0.08230853813583963,3.748156747221947,0.014806242774609412
67584,111,-56.385354927261,4905,0.17283507203683257,0.052776886190986264,3.7276433289051054,0.01480328152605449
68608,112,147.4635329762388,862,0.0511542456864845,1.0648625856265426,3.706419776380062,0.014800320869749278
69632,113,12.590318147456186,536,0.06304333724256139,0.2965372155420482,3.688591314852238,0.01479736080557533
70656,115,13.49093710142165,195,0.12236772705800832,0.2025724624749273,3.6618225440382957,0.014794401333414215
71680,116,49.80888169308361,595,0.07380102357128634,0.3081141956849024,3.6030302166938784,0.014791442453147532
72704,117,191.65700506198763,985,-0.027288408362073822,0.3757873788708821,3.5473593935370444,0.014788484164656902
73728,119,9.644972947397243,110,0.18281021376606077,2.8422092983499168,3.4988424271345138,0.01478552646782397
74752,119,110.21930345002072,1134,0.1887516121030785,0.22306380462832748,3.516923467814922,0.014782569362530406
75776,119,190.846653381691,2158,0.07607682696543634,0.13691958675626664,3.5081311047077177,0.0147796128486579
76800,119,363.2011175304942,3182,0.0878837115247734,0.14909794537816196,3.4793765991926193,0.014776656926088169
77824,119,525.1324599898677,4206,0.10688679867889732,0.3063027969095856,3.4559408470988275,0.014773701594702952
78848,119,708.232208189434,5230,0.11540946308523417,0.4131892640143633,3.463131184875965,0.014770746854384011
79872,119,785.985657960156,6254,0.13542618860956282,0.45479171760380266,3.46760875582695,0.014767792705013135
80896,120,4.151322972217646,219,0.308210451900959,0.2765861437190324,3.4854331389069557,0.014764839146472133
81920,122,7.091738898881047,160,0.018791469157440586,0.16601273317355664,3.4942662090063097,0.014761886178642838
82944,124,4.341930768388408,140,0.11053076377138496,0.1362296968465671,3.4227282807230948,0.014758933801407111
83968,127,10.538324411820886,494,0.1153346823528409,29.48370788693428,3.379043626785278,0.01475598201464683
84992,129,17.76604731662267,467,0.20337610725546257,0.9569600502029061,3.381314900517464,0.0147530308182439
86016,131,0.0708720583252305,26,0.03799328056629747,0.27260096166282893,3.370195043087006,0.014750080212080251
87040,133,2.6619396337493533,94,0.13079982635681517,4.184828763455153,3.360193684697151,0.014747130196037836
88064,134,8.11998244328033,249,0.30452137570828197,1.9121335979551077,3.371165418624878,0.014744180769998628
89088,134,38.75338674454694,1273,0.22249720499385148,0.23227963517419994,3.3926216557621958,0.014741231933844629
90112,134,64.31197439688452,2297,0.13761139704147354,0.1778721588663757,3.415311959385872,0.014738283687457861
91136,135,3.6109798531664885,337,-0.016591555287595837,0.2800166557077318,3.417197346687317,0.01473533603072037
92160,136,10.794726143584112,601,0.04177257307455875,15.00811921171844,3.382743290066719,0.014732388963514228
93184,138,5.4440865243443755,165,0.08995118085877038,0.5572769213002176,3.3886910885572434,0.014729442485721524
94208,139,9.689961825412592,347,-0.010091202869080006,0.18396587600000203,3.37141700387001,0.01472649659722438
95232,140,49.49803594444098,562,-0.018645717634353787,0.18118721212958916,3.292833423614502,0.014723551297904935
96256,140,286.61700170075954,1586,0.8220088583417237,0.7949755255132913,3.245509845018387,0.014720606587645355
97280,140,326.60137587613946,2610,-0.024757141823647542,0.14927913625724615,3.2435064360499384,0.014717662466327826
98304,140,464.8256289210752,3634,0.3524464919930324,0.3743299166671932,3.2132573425769806,0.014714718933834562
99328,141,4.241349436607291,334,0.037990317493677137,0.3574069017544389,3.1991103902459144,0.014711775990047795
100352,143,10.920105576640463,548,0.08032031335751526,16.768400134518743,3.1715280279517173,0.014708833634849787
101376,144,31.472227315498177,677,0.11335683327342849,13.311558864265681,3.1838441148400305,0.014705891868122817
102400,146,13.62475446891507,471,0.08624330145539716,8.71437665000558,3.1947971776127817,0.014702950689749193
103424,147,20.81506236406564,902,0.31000694101676346,2.078702792711556,3.2082584515213965,0.014700010099611244
104448,149,14.060812088554341,430,0.20642665927298368,0.7778578346595169,3.240599238872528,0.014697070097591322
105472,150,28.938897759671725,845,0.023482022702228277,0.5161659805104136,3.2826459392905236,0.014694130683571803
106496,150,46.567228442770556,1869,0.06910339784808457,0.41390852387994526,3.2545748606324194,0.01469119185743509
107520,151,27.838070678325312,975,0.13776571136550048,0.19125627337489276,3.2480942860245703,0.014688253619063603
108544,151,48.740267972860536,1999,0.038357828289736065,0.10381894917227327,3.2329157888889313,0.01468531596833979
109568,152,11.295785301544024,534,0.04431499768979848,0.08441900275065564,3.195915697515011,0.014682378905146122
110592,155,9.360918973487776,239,0.06581080797768664,13.445920315012335,3.1846856623888016,0.014679442429365093
111616,155,33.67382692566003,1263,0.7669332328252494,1.0160582341253757,3.204157342016697,0.01467650654087922
112640,156,12.733095558341269,342,0.16359324287623167,14.317775573581457,3.232774357497692,0.014673571239571045
113664,157,18.03564213524333,564,0.15843943124637008,13.946267020702361,3.2416846707463263,0.014670636525323131
114688,160,6.627370220825053,327,0.1546649266689201,30.125599724054336,3.249607764184475,0.014667702398018068
115712,162,6.240452375885553,443,0.09327411789563485,6.041553504765034,3.2597630694508553,0.014664768857538464
116736,164,3.0620077815711815,331,0.2587145937839523,0.25594950749073175,3.2984901636838915,0.014661835903766957
117760,166,10.824762312657226,522,0.038203075813362374,0.12727624267572538,3.322629380226135,0.014658903536586203
118784,169,1.0289160493039917,47,0.06531238419702276,0.09116416700417176,3.316181780397892,0.014655971755878886
119808,170,7.403480495385038,695,0.10536926684435458,0.23635369628900663,3.3005933970212937,0.01465304056152771
120832,171,-0.8116458675504732,675,0.2755747963907197,0.35550002721138296,3.281209698319435,0.014650109953415405
121856,171,-1.7051428954731485,1699,-0.07119084015721455,0.11255625218618662,3.2445992186665533,0.014647179931424722
122880,171,-3.730600878489003,2723,-0.061732315295375886,0.036431318119866773,3.1886818036437035,0.014644250495438438
123904,171,0.9845683729977739,3747,0.5527415512711741,0.03212134986824822,3.1249194487929346,0.01464132164533935
124928,171,-8.121786513054955,4771,0.10636949574691243,0.05662771799252368,3.0915178090333937,0.014638393381010282
125952,172,7.471973611639985,141,0.09310659661132377,15.480577059835195,3.091238284111023,0.01463546570233408
126976,173,22.72074583877022,792,0.2748319329577498,0.1632763561210595,3.0922762721776964,0.014632538609193613
128000,175,4.729947344486544,102,0.16586504506412894,0.16887253406457603,3.048376850783825,0.014629612101471774
129024,178,-0.03552835363397541,4,-0.060437198600266126,0.11681003727717325,2.9804734006524085,0.01462668617905148
130048,180,7.135490200495743,215,0.017270808038301767,0.05777857952052727,2.8700964212417603,0.01462376084181567
131072,183,6.95435200755359,110,-0.08631911904667504,0.02629758619586937,2.732247085869312,0.014620836089647309
132096,186,-0.05873297552464931,8,0.11459567372803577,0.04110809364356101,2.614015205204487,0.01461791192242938
133120,188,9.294329332219283,272,0.1212781786103733,0.05080909785465337,2.5671744629740716,0.014614988340044894
134144,191,5.031930552827265,105,0.09889142512110993,0.05425529535277747,2.546591986715794,0.014612065342376886
135168,193,27.380836708663054,261,0.029376042447984217,0.18961651856079698,2.491416350007057,0.014609142929308412
136192,194,-28.81926559111009,550,0.04165245243348181,0.38124324639793483,2.4426470369100572,0.014606221100722551
