timestep,episode,episode_reward,episode_length,critic1_loss,critic2_loss,actor_loss,alpha
21462,33,103.16885072815164,1432,0.030439024791121483,0.025517363101243973,-7.030120849609375,0.007109564263373613
24170,34,273.9867622111893,2708,0.024463815614581108,0.03259915113449097,-7.904259204864502,0.007350220810621977
24749,35,24.319436792296212,579,0.022618543356657028,0.022889740765094757,-6.839573383331299,0.007444700226187706
25354,36,32.42663054346694,605,0.02610952779650688,0.03637692704796791,-6.626128196716309,0.0076649002730846405
26045,37,17.617616240112252,691,0.0546928271651268,0.033988308161497116,-6.870977878570557,0.007856841199100018
27116,38,49.46507107780255,1071,0.13802531361579895,0.13828806579113007,-7.101458549499512,0.007747630588710308
27653,39,50.28472280580368,537,0.028070518746972084,0.034915413707494736,-7.292837619781494,0.007747153285890818
30009,40,352.72799298125,2356,0.08296063542366028,0.056649547070264816,-7.732637882232666,0.008373447693884373
31639,41,75.30964368422055,1630,0.18271316587924957,0.20521531999111176,-7.236366271972656,0.008799323812127113
33574,42,533.6709452237392,1935,0.07969915866851807,0.1004897952079773,-7.988792896270752,0.008898017928004265
34536,43,66.21135710736664,962,0.08662375807762146,0.08567903935909271,-7.839883804321289,0.008968820795416832
35257,44,50.03892413194095,721,0.090434730052948,0.11385948210954666,-8.517014503479004,0.009510096162557602
35504,45,-0.8911138580124153,247,0.13428017497062683,0.18725638091564178,-7.658076763153076,0.009636730886995792
46337,46,5162.232200110329,10833,0.1326519250869751,0.13943645358085632,-13.190154075622559,0.012353109195828438
57657,47,6903.641584820564,11320,0.11942298710346222,0.07962536811828613,-22.851795196533203,0.013929028064012527
64926,48,4988.035886038416,7269,0.21122950315475464,0.16463738679885864,-27.933277130126953,0.015173138119280338
72109,49,4997.397553235012,7183,0.18786156177520752,0.3381713032722473,-31.296810150146484,0.01600043475627899
79154,50,5181.697220802196,7045,0.5568350553512573,0.5066866874694824,-31.280521392822266,0.01748117245733738
86162,51,5301.522380618001,7008,0.43464723229408264,0.5117084980010986,-39.14368438720703,0.016704658046364784
92319,52,3310.773615655946,6157,0.17191533744335175,0.2552628815174103,-41.577484130859375,0.018177758902311325
98909,53,5309.339176934672,6590,0.44977647066116333,0.5562857985496521,-44.77623748779297,0.016939569264650345
106912,54,6343.957993690045,8003,0.2742930054664612,0.3150922358036041,-46.391029357910156,0.01934145763516426
113145,55,4665.422295760584,6233,0.3368297815322876,0.984047532081604,-49.17193603515625,0.019070854410529137
119870,56,5453.068183859266,6725,0.7525731325149536,0.752485990524292,-49.042076110839844,0.018873590975999832
124174,57,1361.1573316285621,4304,0.48723214864730835,0.5087653994560242,-51.22079086303711,0.018933352082967758
