timestep,episode,episode_reward,episode_length,critic1_loss,critic2_loss,actor_loss,alpha
401,1,-3.5221499345923957,401,0.0031968243420124054,0.0036073410883545876,-0.9052947759628296,0.184193417429924
770,2,-3.8080368291990223,369,0.002064791973680258,0.0019696552772074938,-1.4531900882720947,0.16487663984298706
1184,3,-6.657017370326055,414,0.002131156623363495,0.0023316890001296997,-1.8850525617599487,0.14562150835990906
2606,4,-10.710063597472027,1422,0.004387923516333103,0.005325043573975563,-3.115907669067383,0.09514307975769043
3131,5,-4.656275000027138,525,0.011094356887042522,0.014583680778741837,-3.3927242755889893,0.08141598105430603
3594,6,-4.984697095669713,463,0.005666899960488081,0.0036351410672068596,-3.6670315265655518,0.07104437053203583
4028,7,6.015675887368002,434,0.005072520114481449,0.005884298123419285,-3.734739303588867,0.0625898465514183
4508,8,1.9765276671488508,480,0.005959671922028065,0.006244443356990814,-3.989874839782715,0.05453789606690407
4900,9,-3.8749298478933327,392,0.007742204703390598,0.007376832887530327,-4.03774881362915,0.04884583503007889
5294,10,-1.3667044226795264,394,0.004649762064218521,0.005668658763170242,-4.087860107421875,0.04374995082616806
5951,11,12.551772957617787,657,0.008461188524961472,0.00794568657875061,-4.445508003234863,0.036475636065006256
6544,12,7.241570845752517,593,0.009480729699134827,0.009661042131483555,-4.485645771026611,0.03106539323925972
6885,13,-1.2517892369539994,341,0.00911999773234129,0.00759649183601141,-4.5426435470581055,0.028247710317373276
7443,14,4.881617414837605,558,0.017681101337075233,0.028804931789636612,-4.544468402862549,0.02414887212216854
7766,15,-0.8097153570191112,323,0.012853525578975677,0.01107122004032135,-4.491023063659668,0.02210967056453228
8097,16,-1.594274036232493,331,0.011165633797645569,0.011625555343925953,-4.565983772277832,0.020276982337236404
9032,17,16.393319177811588,935,0.012718930840492249,0.014461709186434746,-4.7239885330200195,0.016134079545736313
9401,18,2.6725624842871625,369,0.010649598203599453,0.012207761406898499,-4.861278533935547,0.014776673167943954
10191,19,14.958506254457204,790,0.009879348799586296,0.01275549829006195,-4.88288688659668,0.012392030097544193
11511,20,37.632557052022825,1320,0.014288466423749924,0.01775781251490116,-5.113731861114502,0.009543927386403084
11952,21,4.77603985098688,441,0.012550350278615952,0.013642989099025726,-5.0650954246521,0.008828205056488514
12324,22,1.4279820381883181,372,0.011110784485936165,0.011430468410253525,-4.885039329528809,0.00827154703438282
13328,23,66.84856635204405,1004,0.0161303598433733,0.019186481833457947,-4.917297840118408,0.006972861010581255
13674,24,0.798889544851563,346,0.014500069431960583,0.014274122193455696,-5.023898124694824,0.006647398229688406
14011,25,2.4487185751351754,337,0.08974316716194153,0.09454791247844696,-5.135865688323975,0.006346371024847031
14967,26,44.94814611758427,956,0.015884704887866974,0.015650592744350433,-5.200432300567627,0.005755768623203039
15617,27,60.29639264131847,650,0.0872364416718483,0.08587908744812012,-5.2049455642700195,0.006013877224177122
16356,28,26.78265555569503,739,0.016367975622415543,0.021303100511431694,-5.66346549987793,0.006066049449145794
16685,29,-0.3659831540130173,329,0.048103924840688705,0.0425228551030159,-5.802818298339844,0.006231820210814476
18164,30,133.02084200156995,1479,0.03496813774108887,0.03885696828365326,-6.247248649597168,0.006179438438266516
19353,31,94.05949421701399,1189,0.02400699257850647,0.018259549513459206,-6.154910087585449,0.006531286519020796
20030,32,17.12345979548816,677,0.016989268362522125,0.01901474967598915,-5.890530586242676,0.006650514435023069
